surfspot,beach,region,crowds,difficulty,link,img link
Church,San Clemente,Orange County,2,4,https://www.surfline.com/surf-report/church/5842041f4e65fad6a770888b,https://www.californiabeaches.com/wp-content/uploads/2014/09/3.27.14-San-Clemente-054-Large-e1527899553968-650x416.jpg
Middles,San Clemente,Orange County,5,4,https://www.surfline.com/surf-report/middles/5842041f4e65fad6a7708886,https://www.californiabeaches.com/wp-content/uploads/2014/09/3.27.14-San-Clemente-050-Large-650x459.jpg
Lower Trestles,San Clemente,Orange County,1.7,4,https://www.surfline.com/surf-report/lower-trestles/5842041f4e65fad6a770888a,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_2620-Large1-e1470878430940-650x398.jpg
Upper Trestles,San Clemente,Orange County,1,3.8,https://www.surfline.com/surf-report/upper-trestles/5842041f4e65fad6a7708887,https://www.californiabeaches.com/wp-content/uploads/2014/09/bigs-Trestles-Surf-Competition-at-Lowers-Surf-Spot-San-Clemente-Large-650x414.jpg
Cottons,San Clemente,Orange County,3,3.5,https://www.surfline.com/surf-report/cottons/5842041f4e65fad6a7708884,https://www.surf-forecast.com/system/images/12474/thumb_col/Cottons-Point.jpg
San Clemente State Beach,San Clemente,Orange County,3,2,https://www.surfline.com/surf-report/san-clemente-state-beach/5842041f4e65fad6a77088cf,https://www.surf-forecast.com/system/images/11438/medium/San-Clemente-State-Park.jpg?1408606880
T Street,San Clemente,Orange County,2.3,1.3,https://www.surfline.com/surf-report/t-street-overview/5a3c011d3df801001b723885,https://www.surf-forecast.com/system/images/15421/thumb_col/T-Street.jpg
T Street Lefts,San Clemente,Orange County,2.3,1.3,https://www.surfline.com/surf-report/t-street-lefts/5842041f4e65fad6a77088d2,https://www.surf-forecast.com/system/images/15421/medium/T-Street.jpg?1452679751
San Clemente Pier,San Clemente,Orange County,2.8,3,https://www.surfline.com/surf-report/san-clemente-pier-northside/5cc8b55739a02e0001ac69f8?camId=5cddf27a77e6e6864e1bb17b,https://www.surf-forecast.com/system/images/21761/medium/San-Clemente-Pier.jpg?1577282916
Doheny Rivermouth,Dana Point,Orange County,2.2,2,https://www.surfline.com/surf-report/doheny-rivermouth/58bddc6082d034001252e3d1,https://www.surf-forecast.com/system/images/3307/thumb_col/Doheney-Beach.jpg
Doheny State Beach,Dana Point,Orange County,2.2,2,https://www.surfline.com/surf-report/doheny-state-beach/5842041f4e65fad6a77088d7?camId=5834981be411dc743a5d5286,https://www.californiabeaches.com/wp-content/uploads/2014/09/20150215_153744-Large-1000x524.jpg
Boneyard,Dana Point,Orange County,2.2,2,https://www.surfline.com/surf-report/boneyard-/58bde90e0cec4200133464ef,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_0841-Large1-650x433.jpg
Strands,Dana Point,Orange County,2.8,3,https://www.surfline.com/surf-report/strands/5842041f4e65fad6a77088d5,https://www.californiabeaches.com/wp-content/uploads/2014/09/bigstock-A-cove-on-the-beach-in-Dana-Po-25896914-650x433.jpg
Salt Creek,Dana Point,Orange County,2,2.4,https://www.surfline.com/surf-report/salt-creek/5842041f4e65fad6a770882e?camId=58349fe73421b20545c4b57e,https://www.californiabeaches.com/wp-content/uploads/2014/09/Dana-Strand-Bryce2-Large-650x364.jpg
Aliso Creek,Laguna Beach,Orange County,2.9,3.3,https://www.surfline.com/surf-report/aliso-creek/5842041f4e65fad6a77088dc,https://www.visitlagunabeach.com/imager/s3-us-west-1_amazonaws_com/laguna-craft/craft/AlisoBeach_844285ee339c9cdd414d98916d77d4f8.jpg
Brooks Street,Laguna Beach,Orange County,2.9,3.3,https://www.surfline.com/surf-report/brooks-street/5842041f4e65fad6a77088dd,https://www.californiabeaches.com/wp-content/uploads/2014/09/Laguna-Beaches-3.28.14-088-e1466198215642-650x375.jpg
Thalia Street,Laguna Beach,Orange County,2.9,3.3,https://www.surfline.com/surf-report/thalia-street/5842041f4e65fad6a77088de,https://www.californiabeaches.com/wp-content/uploads/2014/09/Laguna-Beaches-3.28.14-054-Large-e1509425414152-650x383.jpg
Rockpile ,Laguna Beach,Orange County,4,3,https://www.surfline.com/surf-report/rockpile/5842041f4e65fad6a77088e3,https://www.californiabeaches.com/wp-content/uploads/2014/09/Laguna-Beaches-3.28.14-055-Large-e1509425373498-650x382.jpg
Crystal Cove,Newport Beach,Orange County,2.2,2.8,https://www.surfline.com/surf-report/crystal-cove/5842041f4e65fad6a7708f21,http://www.crystalcovestatepark.org/wp-content/uploads/2015/12/Reef-Point--e1470931279157.jpg
Corona del Mar ,Newport Beach,Orange County,1.5,3.5,https://www.surfline.com/surf-report/corona-del-mar/5842041f4e65fad6a77088f3,https://www.parks.ca.gov/pages/652/images/P0078527.jpg
The Wedge,Newport Beach,Orange County,1.8,4.5,https://www.surfline.com/surf-report/the-wedge/5842041f4e65fad6a770882b,https://www.surfertoday.com/images/stories/thewedgewave2.jpg
